"id","subject","topic","difficulty","type","question","option_a","option_b","option_c","option_d","correct_answer","explanation","code_snippet"
"11","Wakefit Interview","conftest.py","Medium","mcq","If you define a fixture in conftest.py at the project root AND in a subdirectory's conftest.py with the same name, which one takes precedence for tests in the subdirectory?","The root-level fixture","The subdirectory-level fixture","Both run in sequence","Pytest raises an error","B","Pytest uses the closest conftest.py in the directory hierarchy. A fixture defined in a subdirectory's conftest.py overrides one with the same name from a parent directory.",""
"12","Wakefit Interview","Explicit vs Implicit Wait","Easy","mcq","What is the key difference between implicit wait and explicit wait in Selenium?","Implicit wait is faster","Implicit wait applies globally to all element lookups while explicit wait targets a specific condition on a specific element","Explicit wait cannot be used with WebDriverWait","There is no difference","B","Implicit wait sets a global timeout for all find_element calls, whereas explicit wait uses WebDriverWait with ExpectedConditions to wait for a specific condition on a specific element.",""
"13","Wakefit Interview","Explicit vs Implicit Wait","Medium","mcq","Which class is used to implement explicit waits in Selenium Python?","ImplicitWait","WebDriverWait","SeleniumWait","BrowserWait","B","WebDriverWait from selenium.webdriver.support.ui is the correct class. It is used together with expected_conditions to poll for a specific condition.",""
"14","Wakefit Interview","Page Object Model","Easy","mcq","What is the main benefit of the Page Object Model (POM) design pattern?","It eliminates the need for assertions","It separates page-specific locators and interactions from test logic, improving maintainability","It makes tests run faster","It removes the need for a test framework","B","POM encapsulates web page elements and their interactions in dedicated classes, so when the UI changes, only the page object needs updating, not every test.",""
"15","Wakefit Interview","Page Object Model","Medium","scenario","In a POM-based framework, the login page has changed its username field locator. How many files typically need to be updated?","Every test file that tests login","Only the LoginPage class file","The conftest.py file","The pytest.ini file","B","This is the core advantage of POM -- locators are maintained in one place (the page class), so a UI change requires updating only that single page object file.",""
"16","Wakefit Interview","Mutable vs Immutable","Easy","mcq","Which of the following Python data types is mutable?","tuple","str","list","int","C","Lists are mutable -- their elements can be changed, added, or removed in place. Tuples, strings, and integers are immutable.",""
"17","Wakefit Interview","Mutable vs Immutable","Medium","output","What is the output of the following Python code?","[1, 2, 3, 4]","[1, 2, 3]","Error","[4]","A","Lists are mutable, so append() modifies the original list in place. Since b references the same list object as a, both a and b reflect the change.","a = [1, 2, 3]\nb = a\nb.append(4)\nprint(a)"
"18","Wakefit Interview","unittest vs pytest","Easy","mcq","Which of the following is a key advantage of pytest over unittest?","pytest requires classes for all tests","pytest supports simple function-based tests without requiring a class","pytest does not support fixtures","pytest cannot run unittest-style tests","B","Unlike unittest which requires test classes inheriting from TestCase, pytest allows writing tests as simple functions, reducing boilerplate.",""
"19","Wakefit Interview","unittest vs pytest","Medium","mcq","Which assertion style does pytest use by default?","self.assertEqual()","assert statement (plain Python assert)","expect()","should()","B","Pytest uses plain Python assert statements and provides detailed introspection on failures, unlike unittest which requires self.assertX() methods.",""
"20","Wakefit Interview","Parametrize in pytest","Easy","mcq","What decorator is used to parametrize a test function in pytest?","@pytest.fixture","@pytest.mark.parametrize","@pytest.param","@pytest.mark.data","B","@pytest.mark.parametrize allows you to run a test function multiple times with different sets of arguments.",""
"21","Wakefit Interview","Parametrize in pytest","Medium","output","How many test cases will pytest generate from this code?","1","2","3","6","C","@pytest.mark.parametrize generates one test for each tuple in the list, so three test cases are created for the three input-output pairs.","import pytest\n\n@pytest.mark.parametrize(""num, expected"", [(1, 1), (2, 4), (3, 9)])\ndef test_square(num, expected):\n    assert num ** 2 == expected"
"22","Wakefit Interview","Fixtures in pytest","Medium","mcq","What does the 'scope' parameter in a pytest fixture control?","The visibility of the fixture","How long the fixture instance lives -- function, class, module, or session level","The return type of the fixture","The priority of the fixture","B","The scope parameter determines the fixture's lifespan: 'function' (default) creates a new instance per test, 'class' per class, 'module' per module, and 'session' once for the entire test run.",""
"23","Wakefit Interview","Fixtures in pytest","Hard","mcq","What happens when a pytest fixture uses yield instead of return?","The test fails","Code before yield is setup; code after yield is teardown, executed after the test completes","yield is not allowed in fixtures","The fixture runs twice","B","A yield fixture splits into setup (before yield) and teardown (after yield). Pytest executes the setup, runs the test, then executes the teardown code.",""
"24","Wakefit Interview","Test Discovery in pytest","Easy","mcq","By default, which file naming convention does pytest use to discover test files?","test_*.py or *_test.py","check_*.py","spec_*.py","*_tests.py","A","Pytest automatically discovers and collects test files matching the patterns test_*.py or *_test.py.",""
"25","Wakefit Interview","API Methods","Easy","mcq","Which HTTP method is used to retrieve data from a server without modifying it?","POST","PUT","GET","DELETE","C","GET is the HTTP method used to request data from a server. It is idempotent and should not cause any side effects.",""
"26","Wakefit Interview","API Methods","Medium","mcq","What is the difference between PUT and PATCH HTTP methods?","They are identical","PUT replaces the entire resource while PATCH applies a partial update","PATCH creates a new resource","PUT is for deletion","B","PUT replaces the entire resource with the provided payload, whereas PATCH applies only the specified changes to the existing resource.",""
"27","Wakefit Interview","E-commerce Testing","Hard","scenario","You need to test a critical flow: login -> add to cart -> payment gateway -> order confirmation on an e-commerce site. Which approach is most appropriate?","Automate only the login step","Create an end-to-end test covering the full flow, use test payment credentials, validate each step's response, and handle payment gateway redirects with explicit waits","Skip payment gateway testing entirely","Test only with unit tests","B","Critical e-commerce flows require end-to-end testing with proper handling of third-party payment gateway redirects, test/sandbox credentials, explicit waits for async operations, and validation at each step.",""
"28","Wakefit Interview","Functional vs Non-functional Testing","Easy","mcq","Which of the following is an example of non-functional testing?","Verifying the login button works","Checking page load time under 3 seconds","Validating form field accepts correct input","Testing the search feature returns results","B","Non-functional testing evaluates attributes like performance, load time, scalability, and usability rather than specific feature behavior.",""
"29","Wakefit Interview","Sorting Algorithms","Medium","output","What is the output of the following code that sorts a linked list represented as a Python list?","[1, 2, 3, 5, 8]","[8, 5, 3, 2, 1]","[1, 3, 2, 5, 8]","Error","A","This implements bubble sort which compares adjacent elements and swaps them if they are in the wrong order, resulting in ascending order.","def sort_list(lst):\n    n = len(lst)\n    for i in range(n):\n        for j in range(0, n-i-1):\n            if lst[j] > lst[j+1]:\n                lst[j], lst[j+1] = lst[j+1], lst[j]\n    return lst\n\nprint(sort_list([3, 1, 5, 2, 8]))"
"30","Wakefit Interview","Finding 2nd Minimum","Medium","output","What does this code print?","1","2","3","Error","B","The code finds the second minimum element by tracking both the minimum and second minimum while iterating through the list. After processing, second_min holds 2.","def second_min(lst):\n    first = second = float('inf')\n    for num in lst:\n        if num < first:\n            second = first\n            first = num\n        elif num < second and num != first:\n            second = num\n    return second\n\nprint(second_min([5, 3, 1, 2, 4]))"
"31","Wakefit Interview","Class Methods vs Static Methods","Medium","mcq","What is the key difference between @classmethod and @staticmethod in Python?","There is no difference","@classmethod receives the class as the first argument (cls) while @staticmethod receives neither class nor instance","@staticmethod can access instance variables","@classmethod cannot be inherited","B","A classmethod receives the class itself as the first parameter (cls) and can access/modify class state, while a staticmethod receives no implicit first argument and behaves like a regular function within the class namespace.",""
"32","Wakefit Interview","Class Methods vs Static Methods","Hard","output","What is the output of this code?","Instance: 10, Class: 10, Static: 10","Instance: 10, Class: 20, Static: 30","Instance: 10, Class: 0, Static: 30","Error","A","The instance method accesses self.value (10), the class method accesses cls.base (10), and the static method simply adds its two arguments (10). All return 10.","class Calculator:\n    base = 10\n\n    def __init__(self, value):\n        self.value = value\n\n    def instance_method(self):\n        return self.value\n\n    @classmethod\n    def class_method(cls):\n        return cls.base\n\n    @staticmethod\n    def static_method(a, b):\n        return a + b\n\nc = Calculator(10)\nprint(f""Instance: {c.instance_method()}, Class: {c.class_method()}, Static: {c.static_method(5, 5)}"")"
"33","Wakefit Interview","pytest.ini Configuration","Easy","mcq","What is the purpose of pytest.ini in a pytest project?","It replaces conftest.py","It is the main configuration file where you define markers, test paths, command-line options, and other pytest settings","It stores test results","It defines environment variables","B","pytest.ini is the primary configuration file for pytest where you can set testpaths, register custom markers, set addopts for default CLI flags, and configure test discovery patterns.",""
"34","Wakefit Interview","pytest.ini Configuration","Medium","mcq","Which option in pytest.ini sets default command-line arguments for every pytest run?","default_args","cli_options","addopts","run_args","C","The addopts setting in pytest.ini appends the specified command-line options to every pytest invocation automatically.",""
"35","Wakefit Interview","Regression Testing","Easy","mcq","What is the primary purpose of regression testing?","Testing new features only","Ensuring that recent code changes have not broken existing functionality","Performance testing","Security testing","B","Regression testing verifies that previously working features continue to work correctly after code changes, bug fixes, or new feature additions.",""
"36","Wakefit Interview","Smoke vs Sanity Testing","Easy","mcq","What is the difference between smoke testing and sanity testing?","They are the same","Smoke testing checks critical functionality of the entire build while sanity testing is a focused check on a specific area after changes","Sanity testing is done before smoke testing","Smoke testing is more detailed than sanity testing","B","Smoke testing is a broad, shallow test of critical paths to verify the build is stable enough for further testing. Sanity testing is a narrow, focused test on a specific module or fix.",""
"37","Wakefit Interview","Python Environment Setup","Easy","mcq","Which command creates a virtual environment named 'venv' in Python?","pip install venv","python -m venv venv","python --create-env venv","virtualenv --init venv","B","The python -m venv venv command uses Python's built-in venv module to create an isolated virtual environment in a directory named 'venv'.",""
"38","Wakefit Interview","String Reversal","Easy","output","What is the output of this code?","tifeka","tifeka","tifekaw","Error","C","The slice [::-1] reverses the entire string. 'wakefit' reversed character by character becomes 'tifekaw'.","s = ""wakefit""\nprint(s[::-1])"
"39","Wakefit Interview","String Reversal","Medium","output","What does this code print?","tifekaw","wakefit","t","Error","A","The function reverses the string by iterating from the last character to the first using range(len(s)-1, -1, -1) and concatenating each character.","def reverse_string(s):\n    result = ''\n    for i in range(len(s)-1, -1, -1):\n        result += s[i]\n    return result\n\nprint(reverse_string('wakefit'))"
"40","Wakefit Interview","Consecutive Grouping","Hard","output","What does this code print?","[[1, 2, 3], [7, 8], [12, 13, 14]]","[1, 2, 3, 7, 8, 12, 13, 14]","[[1, 2, 3, 7, 8, 12, 13, 14]]","Error","A","The function groups consecutive numbers. It starts a new group whenever the current number is not exactly 1 more than the previous. IDs 1,2,3 form one group, 7,8 form another, and 12,13,14 form the third.","def group_consecutive(ids):\n    if not ids:\n        return []\n    groups = [[ids[0]]]\n    for i in range(1, len(ids)):\n        if ids[i] == ids[i-1] + 1:\n            groups[-1].append(ids[i])\n        else:\n            groups.append([ids[i]])\n    return groups\n\nprint(group_consecutive([1, 2, 3, 7, 8, 12, 13, 14]))"
"41","Wakefit Interview","Remove Duplicates","Medium","output","What is the output of this code?","[3, 1, 4, 1, 5]","[1, 3, 4, 5]","[3, 1, 4, 5]","Error","C","The function iterates through the list and appends each element to 'seen' only if it has not already appeared, preserving the original order while removing duplicates.","def remove_duplicates(lst):\n    seen = []\n    for item in lst:\n        if item not in seen:\n            seen.append(item)\n    return seen\n\nprint(remove_duplicates([3, 1, 4, 1, 5, 3, 1]))"
"42","Wakefit Interview","Git Merge Conflict","Medium","mcq","When a Git merge conflict occurs, what do the conflict markers <<<<<<< and >>>>>>> represent?","Syntax errors in the code","<<<<<<< marks the start of your current branch changes and >>>>>>> marks the end of the incoming branch changes","File corruption indicators","Merge was successful","B","Git inserts conflict markers to show both versions: <<<<<<< HEAD shows your current branch's code, ======= separates them, and >>>>>>> branch-name shows the incoming changes. You must manually resolve and remove the markers.",""
"43","Wakefit Interview","Jenkins Triggering","Medium","mcq","Which is the most common way to trigger a Jenkins pipeline for automated test execution?","Manually clicking a button every time","Configuring a webhook or poll SCM to trigger on code commits, or using a cron schedule","Sending an email to Jenkins","Restarting the Jenkins server","B","Jenkins pipelines are typically triggered automatically via webhooks (e.g., GitHub webhook on push), SCM polling at intervals, or cron-based scheduled builds.",""
"44","Wakefit Interview","Decorators","Medium","output","What is the output of this code?","Hello","Before\nHello\nAfter","Before\nAfter","Error","B","The decorator wraps the original function. When greet() is called, it first prints 'Before', then calls the original greet function which prints 'Hello', then prints 'After'.","def my_decorator(func):\n    def wrapper():\n        print(""Before"")\n        func()\n        print(""After"")\n    return wrapper\n\n@my_decorator\ndef greet():\n    print(""Hello"")\n\ngreet()"
"45","Wakefit Interview","Generators","Medium","output","What is the output of this code?","[0, 1, 4]","<generator object>","0 1 4","Error","C","The generator function yields values lazily. The for loop iterates over it, calling next() internally. It yields 0*0=0, 1*1=1, 2*2=4, each printed separated by a space due to end=' '.","def squares(n):\n    for i in range(n):\n        yield i * i\n\nfor val in squares(3):\n    print(val, end="" "")"
"46","Wakefit Interview","Fixtures in pytest","Hard","mcq","What does autouse=True do in a pytest fixture?","It makes the fixture run only once","It automatically applies the fixture to all tests in its scope without requiring them to request it","It disables the fixture","It makes the fixture run last","B","When autouse=True is set, the fixture is automatically used by all tests within its scope (function, class, module, or session) without needing to be listed as a test parameter.",""
"47","Wakefit Interview","Explicit vs Implicit Wait","Hard","scenario","Your Selenium test intermittently fails because a dynamic element loads after an AJAX call. Implicit wait is set to 10 seconds but the test still fails. What is the best solution?","Increase implicit wait to 60 seconds","Replace with an explicit wait using WebDriverWait with expected_conditions.visibility_of_element_located for that specific element","Add a time.sleep(30)","Refresh the page repeatedly","B","Explicit wait with a specific expected condition is the best approach for dynamic elements. It waits for the exact condition (visibility, clickability, etc.) rather than just DOM presence, which is what implicit wait checks.",""
"48","Wakefit Interview","Mutable vs Immutable","Hard","output","What is the output of this code?","(1, 2, 3, 4)","Error: tuples are immutable","(1, 2, 3)","None","B","Tuples are immutable in Python. Attempting to modify a tuple element with t[0] = 10 raises a TypeError because item assignment is not supported for tuples.","t = (1, 2, 3)\ntry:\n    t[0] = 10\n    print(t)\nexcept TypeError:\n    print(""Error: tuples are immutable"")"
