"id","subject","topic","difficulty","type","question","option_a","option_b","option_c","option_d","correct_answer","explanation","code_snippet"
"11","EY Interview","Git Branching Strategy","Medium","scenario","Your automation team uses Git. A new test suite needs to be developed for a feature. What is the correct branching strategy?","Commit directly to the main branch","Create a feature branch from develop, write tests, then raise a pull request to merge back into develop","Create a branch from production and merge into main","Work on the develop branch directly without creating a feature branch","B","Best practice is to create a feature branch from develop, implement changes, and raise a pull request for code review before merging back, ensuring code quality and traceability.",""
"12","EY Interview","Manual Testing","Medium","scenario","You are assigned to test a completely new web application with no documentation. What is your first step?","Start writing automated test scripts immediately","Perform exploratory testing to understand the application, then document test scenarios","Skip testing and report it as untestable","Only test the login page","B","When no documentation is available, exploratory testing helps understand the application behavior first. Documenting findings then forms the basis for structured test cases.",""
"13","EY Interview","Jenkins CI/CD","Easy","mcq","What is Jenkins primarily used for in software testing?","Manual test case execution","Continuous Integration and Continuous Delivery","Database management","UI design","B","Jenkins is an open-source automation server primarily used for CI/CD, enabling automated building, testing, and deployment of applications.",""
"14","EY Interview","Jenkins CI/CD","Medium","mcq","How can you schedule a Jenkins job to run every night at midnight?","Using a cron expression: 0 0 * * *","By manually clicking Build every night","Jenkins cannot schedule jobs","Using a cron expression: * * * * *","A","Jenkins uses cron-like expressions for scheduling. '0 0 * * *' means the job runs at minute 0, hour 0 (midnight) every day.",""
"15","EY Interview","Jenkins CI/CD","Hard","scenario","Your Selenium test suite in Jenkins fails intermittently due to timeout errors. What is the most effective approach?","Increase all timeouts to 5 minutes","Implement explicit waits, use retry mechanisms, analyze failure patterns, and check environment stability","Remove the failing tests","Run tests only locally","B","Intermittent failures should be investigated systematically. Using explicit waits, retry logic, and environment checks addresses root causes rather than masking problems.",""
"16","EY Interview","JIRA Test Cases","Easy","mcq","In JIRA, what is the correct hierarchy from largest to smallest?","Story > Epic > Task","Epic > Story > Sub-task","Feature > Sub-task > Epic","Task > Epic > Story","B","The standard JIRA hierarchy is Epic (large body of work) > Story (user requirement) > Sub-task (breakdown of a story).",""
"17","EY Interview","JIRA Test Cases","Medium","mcq","Which JIRA field is most appropriate for linking test cases to requirements?","Labels","Linked Issues","Priority","Reporter","B","The Linked Issues field in JIRA allows traceability between test cases and their corresponding requirements or user stories using link types like 'tests' or 'is tested by'.",""
"18","EY Interview","Epic Story Feature","Medium","scenario","A product manager creates an Epic called 'User Authentication'. Which of the following would be an appropriate User Story under it?","Fix all bugs in the application","As a user, I want to reset my password so that I can regain access to my account","Deploy the application to production","Create database tables","B","User Stories follow the format 'As a [role], I want [feature] so that [benefit]' and should be a deliverable piece of functionality within the Epic.",""
"19","EY Interview","Validation vs Verification","Easy","mcq","What is the key difference between Validation and Verification in software testing?","They are the same thing","Verification checks if the product is built correctly; Validation checks if the correct product is built","Validation is only for UI; Verification is only for backend","Verification is done only in production","B","Verification ensures the product is built according to specifications (Are we building it right?), while Validation ensures the product meets user needs (Are we building the right thing?).",""
"20","EY Interview","Dynamic Web Elements XPath","Medium","mcq","Which XPath strategy is best for locating a dynamic web element whose ID changes on every page load?","//input[@id='btn_12345']","//input[contains(@class,'submit-button')]","//input[@id='submit']","//input[@name='12345']","B","When IDs are dynamic, using contains() with a stable partial attribute like class name is more reliable than using the full dynamic ID value.",""
"21","EY Interview","Dynamic Web Elements XPath","Hard","mcq","Which XPath expression correctly selects all rows in an HTML table where the second column contains the text 'Active'?","//table/tr[td='Active']","//table//tr[td[2][text()='Active']]","//table/tr/td[2]","//table//td[contains(text(),'Active')]","B","The expression //table//tr[td[2][text()='Active']] selects <tr> elements where the second <td> child has the exact text 'Active', which is the correct row-level filter.",""
"22","EY Interview","Selenium Table Extraction","Hard","output","What will the following Selenium Python script print for a table with 3 rows and 2 columns?","3","6","2","Error","B","The script finds all <td> elements in the table. A table with 3 rows and 2 columns has 3 x 2 = 6 <td> elements total.","from selenium import webdriver\ndriver = webdriver.Chrome()\ndriver.get(""http://example.com/table"")\ncells = driver.find_elements(By.TAG_NAME, ""td"")\nprint(len(cells))\ndriver.quit()"
"23","EY Interview","String Manipulation","Easy","output","What is the output of the following Python code?","olleh","hello","HELLO","Error","A","The slice [::-1] reverses the string 'hello' to produce 'olleh'.","text = ""hello""\nprint(text[::-1])"
"24","EY Interview","String Manipulation","Medium","output","What is the output of the following Python code?","3","2","1","0","A","The count() method returns the number of non-overlapping occurrences of the substring 'a' in the string 'banana', which appears 3 times.","word = ""banana""\nprint(word.count(""a""))"
"25","EY Interview","String Manipulation","Medium","output","What is the output of the following Python code?","['hello', 'world']","hello world","['hello world']","Error","A","The split() method splits the string by the space character, returning a list with two elements: 'hello' and 'world'.","s = ""hello world""\nprint(s.split("" ""))"
"26","EY Interview","Invoice Calculation","Hard","scenario","An invoice system applies a 10% discount if the total exceeds 1000, and a 5% discount if the total is between 500 and 1000. For a total of 750, what is the final amount?","675.0","712.5","750.0","700.0","B","Since 750 is between 500 and 1000, a 5% discount is applied: 750 - (750 * 0.05) = 750 - 37.5 = 712.5.",""
"27","EY Interview","Invoice Calculation","Hard","output","What will the following Python function return for calculate_invoice(1200)?","1080.0","1140.0","1200.0","1100.0","A","Since 1200 > 1000, a 10% discount is applied: 1200 - (1200 * 0.10) = 1200 - 120 = 1080.0.","def calculate_invoice(total):\n    if total > 1000:\n        return total * 0.90\n    elif total >= 500:\n        return total * 0.95\n    else:\n        return total\nprint(calculate_invoice(1200))"
"28","EY Interview","Automation Tools","Easy","mcq","Which of the following is a popular test automation framework for Python?","JUnit","pytest","TestNG","Mocha","B","pytest is the most popular Python test automation framework. JUnit and TestNG are Java-based, while Mocha is JavaScript-based.",""
"29","EY Interview","Automation Tools","Medium","mcq","Which tool is commonly used for API testing in an automation testing stack?","Selenium WebDriver","Postman or Requests library","Jenkins","Git","B","Postman is a GUI tool for API testing, and the Python Requests library is used for automated API testing. Selenium is for UI testing, Jenkins for CI/CD, and Git for version control.",""
"30","EY Interview","Debugging Failed Tests","Medium","scenario","A Selenium test case that was passing yesterday is now failing with a NoSuchElementException. What is the most systematic debugging approach?","Delete the test and rewrite it","Check if the locator has changed in the application, verify the page is fully loaded, check for iframes, and review recent application deployments","Increase the sleep time to 30 seconds","Mark the test as skipped","B","Systematic debugging involves checking locator validity, page load status, iframe context, and recent code changes rather than applying workarounds or ignoring the failure.",""
"31","EY Interview","Debugging Failed Tests","Hard","mcq","When a Selenium test fails with StaleElementReferenceException, what does it indicate?","The browser has crashed","The element was found initially but the DOM was refreshed, making the reference stale","The element never existed on the page","The XPath syntax is incorrect","B","StaleElementReferenceException occurs when an element that was previously located is no longer attached to the DOM, typically due to a page refresh or dynamic DOM update.",""
"32","EY Interview","API Testing","Medium","mcq","Which HTTP status code indicates a successful POST request that created a new resource?","200","201","204","404","B","HTTP 201 Created indicates that a POST request was successful and a new resource was created. 200 is generic success, 204 is no content, and 404 is not found.",""
"33","EY Interview","API Testing","Hard","scenario","You need to validate that a REST API correctly handles authentication. Which test cases should you include?","Only test with valid credentials","Test with valid credentials, invalid credentials, expired tokens, missing auth headers, and SQL injection in credentials","Only check if the endpoint exists","Test only the response time","B","Comprehensive API authentication testing must cover positive scenarios, negative scenarios, edge cases, and security concerns to ensure robust validation.",""
"34","EY Interview","Challenges in Automation","Medium","scenario","Your Selenium tests run successfully on your local machine but fail on Jenkins. What is the most likely root cause category?","The tests are incorrectly written","Environment differences such as browser version, screen resolution, headless mode configuration, or missing dependencies","Jenkins does not support Selenium","Python is not compatible with Jenkins","B","Environment differences between local and CI machines are the most common cause of such failures. Factors include headless browser config, driver versions, and display settings.",""
"35","EY Interview","CI/CD Integration","Medium","mcq","In a CI/CD pipeline, what is the correct order of test execution stages?","E2E Tests -> Unit Tests -> Integration Tests","Unit Tests -> Integration Tests -> E2E Tests","E2E Tests -> Integration Tests -> Unit Tests","All tests run simultaneously","B","Following the testing pyramid, unit tests run first (fast, many), then integration tests, and finally E2E tests (slow, fewer). This provides fast feedback on failures.",""
"36","EY Interview","CI/CD Integration","Hard","mcq","Which of the following is a benefit of integrating Selenium tests into a CI/CD pipeline?","Tests only run when manually triggered","Automated regression testing on every code change with immediate feedback","Eliminates the need for test maintenance","Makes all tests run faster by default","B","CI/CD integration enables automated execution of Selenium tests on every commit or merge, providing immediate feedback on regressions without manual intervention.",""
"37","EY Interview","Selenium Basics","Easy","mcq","Which Selenium WebDriver method is used to navigate to a URL?","driver.open()","driver.get()","driver.navigate()","driver.goto()","B","The driver.get(url) method is used in Selenium Python to navigate the browser to the specified URL.",""
"38","EY Interview","Selenium Waits","Medium","mcq","What is the difference between implicit wait and explicit wait in Selenium?","They are identical in behavior","Implicit wait sets a global timeout for all element lookups; explicit wait targets a specific condition for a specific element","Implicit wait is faster than explicit wait","Explicit wait cannot be used with Python","B","Implicit wait applies a global polling timeout for all find_element calls, while explicit wait uses WebDriverWait with ExpectedConditions for targeted, conditional waiting.",""
"39","EY Interview","Git and GitHub","Medium","mcq","What is the purpose of a Pull Request in GitHub?","To delete a branch","To request code review and approval before merging changes into a target branch","To pull the latest code from remote","To revert all local changes","B","A Pull Request is a collaboration mechanism that notifies team members about changes, enables code review, discussion, and approval before merging into the target branch.",""
"40","EY Interview","Agile Methodology","Hard","scenario","During Sprint Retrospective, the QA team identifies that too many bugs are escaping to production. Which action is most effective?","Blame the developers for writing buggy code","Implement shift-left testing practices, increase code reviews, add more automated regression tests, and improve Definition of Done criteria","Remove the QA team from the sprint","Stop releasing until all bugs are fixed","B","A constructive retrospective action involves process improvements like shift-left testing, enhanced reviews, more automation, and stricter DoD to prevent bugs from reaching production.",""
